"","x","freq"
"348","chance",3
"349","change",12
"350","changed",2
"351","character",1
"352","charge",2
"353","charitable",1
"354","charles",2
"355","charlesmichel",1
"356","chart",1
"357","chase",1
"358","chasing",2
"359","chauvin",2
"360","check",4
"361","checks",8
"362","chescuo",1
"363","chetdisg",1
"364","chfxrwp",1
"365","child",7
"366","childbirth",1
"367","childcare",1
"368","children",3
"369","chinese",1
"370","chip",1
"371","chocolate",1
"372","choice",4
"373","choose",3
"374","christian",1
"375","christians",1
"376","citadel",1
"377","cities",1
"378","citizens",1
"379","citizenship",2
"380","city",1
"381","civil",1
"382","civilians",1
"383","ckaiuigxwu",1
"384","ckuywlvv",1
"385","class",8
"386","classmates",1
"387","classroom",2
"388","clea",1
"389","clean",4
"390","clear",13
"391","clearing",1
"392","climate",14
"393","clinic",1
"394","clock",3
"395","close",4
"396","closely",1
"397","closer",2
"398","closing",3
"399","cluvocp",1
"400","cnfxoithx",1
"401","cnn",1
"402","cnrbbmtd",1
"403","co",621
"404","coast",2
"405","cod",1
"406","coefevqxs",1
"407","collar",3
"408","collectively",2
"409","college",4
"410","colonial",1
"411","colorado",1
"412","columbus",1
"413","combat",1
"414","combating",1
"415","come",4
"416","comes",14
"417","coming",2
"418","comm",1
"419","commencement",2
"420","commerce",1
"421","commitment",5
"422","committed",3
"423","committee",1
"424","common",3
"425","communiti",1
"426","communities",8
"427","community",8
"428","commute",1
"429","companies",3
"430","compete",2
"431","competing",1
"432","competition",2
"433","competitive",1
"434","competitiveness",1
"435","complex",1
"436","complicated",1
"437","complicit",1
"438","complicity",1
"439","compromise",2
"440","concer",1
"441","conference",1
"442","confident",1
"443","confirm",1
"444","confirmation",2
"445","confusio",1
"446","congrats",1
"447","congratulated",1
"448","congratulations",4
"449","congre",1
"450","congress",17
"451","congressional",5
"452","congressman",2
"453","consequences",1
"454","constitution",1
"455","contain",4
"456","continue",2
"457","continued",1
"458","continuing",1
"459","contracts",1
"460","contributions",1
"461","control",7
"462","conusbp",1
"463","conversation",1
"464","convinced",1
"465","coordinated",2
"466","core",3
"467","coronavirus",1
"468","corporate",2
"469","corporations",6
"470","cost",1
"471","costs",1
"472","costson",1
"473","could",2
"474","coun",1
"475","council",1
"476","countless",8
"477","country",36
"478","county",2
"479","coup",1
"480","courage",1
"481","courageously",1
"482","course",3
"483","coverage",1
"484","covers",1
"485","covi",3
"486","covid",49
"487","cpcllqfri",1
"488","create",6
"489","created",5
"490","creating",2
"491","credit",2
"492","crescent",1
"493","crimes",3
"494","crises",4
"495","crisis",11
"496","critical",4
"497","cross",1
"498","crossed",1
"499","crowd",1
"500","crucial",1
"501","crumbling",1
"502","csazccku",1
"503","csjnqxcm",1
"504","cuban",1
"505","cudndidqy",1
"506","cut",5
"507","cwjdcruz",1
"508","cxbypv",1
"509","cydsdacop",1
"510","czgnadesoe",1
"511","d",4
"512","dad",1
"513","daily",1
"514","darkness",1
"515","data",1
"516","daunte",1
"517","day",25
"518","days",21
"519","ddewvubakx",1
"520","de",1
"521","deal",6
"522","dealt",1
"523","dear",1
"524","dearborn",1
"525","death",2
"526","deaths",2
"527","decade",1
"528","decades",1
"529","decisions",1
"530","decisive",1
"531","declared",1
"532","dedicated",1
"533","dedication",1
"534","deep",2
"535","defend",1
"536","defender",1
"537","defending",1
"538","defense",5
"539","defies",1
"540","delfmv",1
"541","delive",2
"542","deliver",11
"543","delivering",15
"544","delivers",1
"545","democracy",3
"546","democratic",4
"547","democrats",3
"548","demonstration",1
"549","denied",2
"550","department",3
"551","deploying",1
"552","deptofdefense",1
"553","derek",2
"554","descendant",1
"555","described",1
"556","deserve",2
"557","deserves",5
"558","designed",1
"559","desperately",1
"560","despicable",1
"561","despite",2
"562","det",1
"563","determine",1
"564","devastated",2
"565","dewine",1
"566","dfpqyyjw",1
"567","dgswdxekz",1
"568","did",4
"569","didn",2
"570","die",1
"571","died",1
"572","differ",1
"573","difference",1
"574","different",2
"575","difficult",1
"576","digging",1
"577","digni",1
"578","dignity",4
"579","dijvkdpza",1
"580","dioyttq",1
"581","diplomacy",3
"582","direct",8
"583","directed",1
"584","directing",2
"585","director",1
"586","discover",1
"587","discrimina",1
"588","discriminatory",1
"589","discuss",18
"590","discussion",2
"591","disease",1
"592","distance",1
"593","distanced",2
"594","distribution",1
"595","diversity",1
"596","division",1
"597","divisions",4
"598","djalqjmf",1
"599","djmmbp",1
"600","djncsquz",1
"601","dlyfhnzos",1
"602","dndwzppmc",1
"603","dnxhbdzt",1
"604","do",31
"605","docavite",1
"606","doctors",1
"607","does",2
"608","doesn",1
"609","doing",4
"610","dollars",1
"611","domestic",1
"612","don",11
"613","done",8
"614","door",1
"615","doors",3
"616","doses",6
"617","double",1
"618","doubt",1
"619","down",12
"620","dpbppenvpe",1
"621","dr",3
"622","dreamers",4
"623","dreaming",1
"624","drfrhmsyw",1
"625","drink",1
"626","drinking",3
"627","dtbuwvvi",1
"628","dtmicwsm",1
"629","due",1
"630","during",8
"631","duties",1
"632","duty",2
"633","dvlratojr",1
"634","dwcjpvnhq",1
"635","dxmqlxoayt",1
"636","dxppnxqw",1
"637","dxqkmmefx",1
"638","dyiijetoap",1
"639","dying",1
"640","dymyjkcx",1
"641","dyshlwdig",1
"642","dyxpeepow",1
"643","e",4
"644","each",6
"645","earlier",1
"646","earliest",1
"647","early",2
"648","earned",1
"649","earth",1
"650","easier",3
"651","east",1
"652","easter",3
"653","easy",1
"654","economi",1
"655","economic",9
"656","economics",3
"657","economy",14
"658","edguuop",1
"659","edjuaab",1
"660","educator",1
"661","educators",2
"662","eepgpbb",1
"663","effe",1
"664","effective",1
"665","effor",1
"666","effort",1
"667","efforts",1
"668","egbxumhgn",1
"669","egyptians",1
"670","eid",1
"671","eight",2
"672","either",2
"673","eksdprnur",1
"674","ekvbholavu",1
"675","eldraen",1
"676","elected",1
"677","electric",3
"678","electrician",1
"679","eleven",2
"680","eligibl",1
"681","eligible",10
"682","eliminate",1
"683","em",1
"684","embkmgkgyq",1
"685","embodies",1
"686","emerge",2
"687","emergency",5
"688","employees",1
"689","employment",1
"690","emsgmczvc",1
"691","en",1
"692","encourage",1
"693","end",8
"694","endeavors",1
"695","ends",1
"696","energy",1
"697","enforcement",1
"698","engine",2
"699","enjoy",1
"700","enormous",2
"701","enough",13
"702","enrollment",3
"703","ensur",1
"704","ensure",6
"705","ensuring",1
"706","enter",1
"707","entire",1
"708","epidemic",2
"709","epilznfv",1
"710","episode",1
"711","equal",8
"712","equality",2
"713","equally",1
"714","equip",1
"715","equitable",1
"716","equitably",1
"717","equity",2
"718","era",2
"719","erica",1
"720","essential",3
"721","est",1
"722","establish",2
"723","established",1
"724","estimate",2
"725","et",1
"726","etidldnw",1
"727","eubtgegbti",1
"728","europe",1
"729","european",1
"730","euywdatqo",1
"731","even",1
"732","event",4
"733","ever",6
"734","every",41
"735","everybody",1
"736","everyone",17
"737","everything",2
"738","evgyqcnma",1
"739","evictions",1
"740","evolved",1
"741","evolving",1
"742","ex",1
"743","exacerbated",1
"744","example",2
"745","excited",1
"746","executive",4
"747","exercising",1
"748","existential",1
"749","expand",3
"750","expanding",1
"751","experien",1
"752","experts",1
"753","explain",1
"754","extend",3
"755","extending",1
"756","extraordinarily",1
"757","extraordinary",5
"758","eyes",1
"759","eyqygdyxa",1
"760","ezysdag",1
"761","f",2
"762","fa",2
"763","fabric",1
"764","face",5
"765","facility",2
"766","facing",4
"767","fact",1
"768","fadvwnil",1
"769","fair",4
"770","fairness",1
"771","faith",4
"772","fakvrfelf",1
"773","fall",1
"774","fam",1
"775","families",16
"776","family",15
"777","fanghogn",1
"778","far",8
"779","farm",2
"780","fast",1
"781","faster",2
"782","fate",1
"783","fatehoeb",1
"784","faucet",1
"785","fauci",2
"786","fault",2
"787","fbazqvcbla",1
"788","fda",3
"789","fe",1
"790","fear",2
"791","fearing",2
"792","february",1
"793","federal",5
"794","fedex",1
"795","feed",1
"796","feel",1
"797","feivjih",1
"798","fellow",2
"799","few",4
"800","ffbqncmgc",1
"801","fgkefmkk",1
"802","fhyqyoww",1
"803","fi",1
"804","fidbwzbvv",1
"805","fifty",1
"806","fight",7
"807","fighting",2
"808","fill",1
"809","fimumuart",1
"810","finally",4
"811","find",7
"812","finding",3
"813","finish",2
"814","finished",1
"815","finishing",1
"816","finnegans",1
"817","fire",1
"818","firefighter",1
"819","first",29
"820","firsthand",1
"821","five",1
"822","fix",1
"823","fkbzyyhz",1
"824","fkmeymmbk",1
"825","fkuzcivj",1
"826","flotus",1
"827","floyd",5
"828","fly",1
"829","fo",1
"830","focus",2
"831","folks",24
"832","food",5
"833","for",114
"834","force",2
"835","forces",3
"836","ford",2
"837","fore",1
"838","foreclosures",1
"839","foreign",1
"840","forget",3
"841","forlpxzj",1
"842","formal",1
"843","former",2
"844","fortune",1
"845","forwa",1
"846","forward",10
"847","found",3
"848","foundation",1
"849","founding",1
"850","fountain",1
"851","four",8
"852","fourth",2
"853","foxhmlsdy",1
"854","fr",1
"855","free",8
"856","freedom",1
"857","freedoms",1
"858","friday",1
"859","friend",3
"860","friends",1
"861","friendship",1
"862","from",32
"863","frontline",1
"864","frontlines",1
"865","frrftdx",1
"866","frxegwfo",1
"867","fsltbnrzbo",1
"868","ftbbkuvos",1
"869","ftoctqqmzq",1
"870","ftwkzia",1
"871","fuel",2
"872","full",6
"873","fully",9
"874","fund",1
"875","fundamental",1
"876","funded",1
"877","funding",1
"878","further",2
"879","future",14
"880","fuyxxovpu",1
"881","fvmpcnxrs",1
"882","fxcnftzt",1
"883","g",3
"884","gain",3
"885","gained",1
"886","gap",1
"887","garland",2
"888","gas",1
"889","gather",2
"890","gauntlet",1
"891","gave",3
"892","gaxhkvjh",1
"893","gcgtvsjel",1
"894","gclwlhyquq",1
"895","gdbihumo",1
"896","gdxqgqbzo",1
"897","gehnpyvp",1
"898","gender",3
"899","general",3
"900","generals",1
"901","generation",8
"902","generators",1
"903","geo",1
"904","george",5
"905","georgia",2
"906","get",53
"907","gets",2
"908","getting",9
"909","gfexwgqap",1
"910","gfgtdw",1
"911","ghost",1
"912","ghtrfx",1
"913","giant",5
"914","girls",1
"915","give",10
"916","given",1
"917","gives",2
"918","giving",2
"919","gjfwzisfvd",1
"920","gkanzhkfwq",1
"921","gkmrkwae",1
"922","glad",1
"923","global",2
"924","globally",1
"925","gmofihmi",1
"926","gmpwklhye",1
"927","go",14
"928","goal",9
"929","goals",2
"930","god",1
"931","goin",1
"932","going",16
"933","gone",1
"934","gonzaga",1
"935","good",11
"936","got",4
"937","gotten",2
"938","government",6
"939","governor",2
"940","governors",1
"941","govmurphy",1
"942","gphvywie",1
"943","gpmkjpkdj",1
"944","gpuxpacg",1
"945","gqeenutcx",1
"946","gqkdgqv",1
"947","graduating",1
"948","grateful",4
"949","gratitud",1
"950","gratitude",1
"951","great",9
"952","greater",1
"953","greatest",1
"954","greatly",1
"955","greek",1
"956","greenfield",1
"957","greetings",2
"958","greg",1
"959","grid",1
"960","grim",1
"961","ground",1
"962","group",5
"963","grow",4
"964","growing",1
"965","grxyktrtr",1
"966","gsraihyio",1
"967","guarantees",1
"968","guard",2
"969","guidance",4
"970","guided",1
"971","guilty",2
"972","guktiqe",1
"973","gun",10
"974","guns",1
"975","gusztprw",1
"976","gvxyrucnv",1
"977","gwlhgfbou",1
"978","gxpjtafd",1
"979","gyjktfyu",1
"980","gyryixbct",1
"981","gztmngnlah",1
"982","h",5
"983","had",10
"984","hadikxdr",1
"985","haines",1
"986","hall",1
"987","hands",4
"988","happen",2
"989","happened",1
"990","happiness",1
"991","happy",5
"992","harbor",1
"993","hard",9
"994","hardest",1
"995","hardware",1
"996","hardworking",2
"997","harm",1
"998","harris",13
"999","has",36
"1000","hate",6
"1001","hav",1
"1002","have",82
"1003","having",1
"1004","hawaiian",1
"1005","hcelwj",1
"1006","he",6
"1007","head",5
"1008","heading",1
"1009","heal",1
"1010","healing",1
"1011","health",20
"1012","hear",4
"1013","heard",1
"1014","heari",1
"1015","heart",2
"1016","hearts",1
"1017","heaven",1
"1018","hel",1
"1019","helicopter",1
"1020","helm",1
"1021","help",22
"1022","helped",4
"1023","helpin",1
"1024","helping",2
"1025","helps",2
"1026","henry",1
"1027","her",10
"1028","here",19
"1029","heritage",2
"1030","hero",1
"1031","heroism",1
"1032","hfvemoxk",1
"1033","hgbaewekoa",1
"1034","hgznifg",1
"1035","hide",1
"1036","high",8
"1037","higher",1
"1038","hiixckigzk",1
"1039","him",3
"1040","hinge",1
"1041","hioujkkmv",1
"1042","hired",1
"1043","his",8
"1044","hispanic",1
"1045","historic",7
"1046","historically",1
"1047","history",9
"1048","hit",3
"1049","hklvhhkp",1
"1050","hmrzlmizv",1
"1051","hnljfkxbv",1
"1052","hnqyxrfbwu",1
"1053","ho",1
"1054","hogcrpvil",1
"1055","hold",2
"1056","holders",1
"1057","holding",2
"1058","hole",1
"1059","holocaust",1
"1060","holy",1
"1061","home",4
"1062","homophobia",1
"1063","honor",8
"1064","honored",3
"1065","hope",4
"1066","horrific",2
"1067","hos",2
"1068","hospitalizations",2
"1069","hospitals",1
"1070","host",1
"1071","hosted",2
"1072","hostilities",1
"1073","hosting",3
"1074","hour",2
"1075","hours",2
"1076","house",21
"1077","househol",1
"1078","households",1
"1079","housing",1
"1080","houston",1
"1081","how",12
"1082","hpchnrkr",1
"1083","hpibvoc",1
"1084","hpjawlsrq",1
"1085","hrawfzjcjp",1
"1086","hsprpbxty",1
"1087","hsyqlbqh",1
"1088","htcds",1
"1089","https",616
"1090","hudgov",1
"1091","huizfzre",1
"1092","human",3
"1093","hundred",3
"1094","hundreds",2
"1095","hungry",2
"1096","hupetlgvau",1
"1097","hurting",4
"1098","hvdfndfc",1
"1099","hwlhgycize",1
"1100","hyxejssny",1
"1101","hzeavekl",1
"1102","i",325
"1103","iarudlucp",1
"1104","ichkbmnorc",1
"1105","icnyrn",1
"1106","idea",1
"1107","ideas",1
"1108","identify",1
"1109","identity",2
"1110","idsbetdpij",1
"1111","iemvfmheh",1
"1112","if",24
"1113","igmayocv",1
"1114","ihkoqyhlb",1
"1115","ii",1
"1116","ijdtponkct",1
"1117","ikafixcv",1
"1118","iljwxgjavg",1
"1119","imagine",1
"1120","imagined",1
"1121","immeasurable",1
"1122","immeasurably",1
"1123","immediate",1
"1124","immediately",3
"1125","immigrants",2
"1126","immigrati",1
"1127","immigratio",1
"1128","immigration",3
"1129","immunity",1
"1130","imp",1
"1131","impacted",4
"1132","impeccable",1
"1133","importance",2
"1134","important",2
"1135","imposing",1
"1136","imvhngwly",1
"1137","in",227
"1138","inaction",1
"1139","inc",1
"1140","incident",1
"1141","incidents",1
"1142","including",3
"1143","income",1
"1144","increas",1
"1145","increase",2
"1146","increasing",1
"1147","incredible",2
"1148","independence",3
"1149","independent",3
"1150","india",1
"1151","indianapolis",1
"1152","indigenous",2
"1153","inf",1
"1154","informed",1
"1155","infrastructur",1
"1156","infrastructure",20
"1157","ingenuity",4
"1158","initial",1
"1159","initiative",1
"1160","inju",1
"1161","injustice",1
"1162","innovation",1
"1163","institutes",1
"1164","insurance",3
"1165","insurrection",1
"1166","inte",1
"1167","interest",1
"1168","international",2
"1169","internationalwomensday",2
"1170","internet",5
"1171","into",15
"1172","introduced",3
"1173","inv",1
"1174","inve",1
"1175","invest",5
"1176","invested",1
"1177","investing",1
"1178","investment",6
"1179","investments",1
"1180","inyrfh",1
"1181","ipaotufr",1
"1182","ipddytxm",1
"1183","ipfzjyxs",1
"1184","ireland",2
"1185","irishman",1
"1186","iruuubxgo",1
"1187","is",132
"1188","islander",1
"1189","isn",7
"1190","israel",2
"1191","israelipm",1
"1192","israelis",1
"1193","issue",2
"1194","issued",3
"1195","issues",1
"1196","it",119
"1197","itkvdhoiz",1
"1198","itomnwaqow",1
"1199","itrrkbmgk",1
"1200","iujvgxzfat",1
"1201","ivdkdxeydk",1
"1202","ivxqpt",1
"1203","ixyahhxef",1
"1204","jabznybt",1
"1205","jae",1
"1206","jain",1
"1207","james",1
"1208","janetyellen",1
"1209","january",1
"1210","japanese",2
"1211","japduit",1
"1212","jayanti",1
"1213","jbqapgcc",1
"1214","jcecyoua",1
"1215","jeanhgex",1
"1216","jenks",1
"1217","jessica",1
"1218","jeuyyaar",1
"1219","jewish",3
"1220","jeyjywkqc",1
"1221","jfqdilffd",1
"1222","jiemdjka",1
"1223","jiglsbahkt",1
"1224","jil",1
"1225","jill",11
"1226","jjftrlja",1
"1227","jjkfosl",1
"1228","jkdsyz",1
"1229","jkluxaqcd",1
"1230","jlwntlyyqo",1
"1231","job",6
"1232","jobs",49
"1233","jocelyn",1
"1234","jog",1
"1235","john",3
"1236","johnson",10
"1237","join",10
"1238","joined",2
"1239","joining",3
"1240","joint",3
"1241","jordan",1
"1242","jphmvmnux",1
"1243","jpoygdn",1
"1244","jsijojp",1
"1245","jsuagv",1
"1246","jtdykmxymm",1
"1247","jtgqddwa",1
"1248","judged",1
"1249","judges",1
"1250","july",4
"1251","jumpstart",1
"1252","jururpqqy",1
"1253","jury",1
"1254","just",19
"1255","justice",3
"1256","justin",1
"1257","justintrudeau",5
"1258","jxmkjhyu",1
"1259","jysimy",1
"1260","jzazhkmcj",1
"1261","jzrebxlwa",1
"1262","jzvuzxfd",1
"1263","k",494
"1264","kairmvwd",1
"1265","kalamazoo",2
"1266","keep",10
"1267","keeping",2
"1268","keoviduksl",1
"1269","kept",4
"1270","kfokgfbh",1
"1271","kfuqpofcfz",1
"1272","kid",1
"1273","kids",5
"1274","killer",1
"1275","kind",2
"1276","kkhvvul",1
"1277","kkogoisgwn",1
"1278","kkznaldi",1
"1279","klnjwbqdo",1
"1280","klrrixnan",1
"1281","klsjfq",1
"1282","kmfilbzh",1
"1283","kncfbkjkg",1
"1284","knee",1
"1285","knew",1
"1286","knjfphm",1
"1287","kno",1
"1288","know",18
"1289","known",2
"1290","korea",1
"1291","kpisgmdxx",1
"1292","kpmsqratwy",1
"1293","kqmizxlg",1
"1294","krnxiupwh",1
"1295","kskaujikk",1
"1296","kuauco",1
"1297","kusjzdaawe",1
"1298","kvoxhvo",1
"1299","kvtxwyksvt",1
"1300","kxnkwflokd",1
"1301","kzbuxiayj",1
"1302","kzcdrxjs",1
"1303","kzrcep",1
"1304","l",3
"1305","labor",1
"1306","lack",1
"1307","lady",2
"1308","laid",1
"1309","lake",2
"1310","landing",1
"1311","landmark",1
"1312","largest",1
"1313","laser",1
"1314","last",23
"1315","later",3
"1316","latest",2
"1317","launch",1
"1318","launched",1
"1319","launching",3
"1320","lavhxvaxz",1
"1321","law",12
"1322","lawrence",1
"1323","laws",1
"1324","lay",1
"1325","layowfag",1
"1326","lbwiizsf",1
"1327","lea",1
"1328","lead",1
"1329","leader",1
"1330","leaders",12
"1331","leadership",1
"1332","leading",1
"1333","learned",1
"1334","least",5
"1335","leave",3
"1336","legacy",2
"1337","legal",1
"1338","legislation",4
"1339","length",1
"1340","lent",1
"1341","less",6
"1342","lessen",1
"1343","let",20
"1344","level",2
"1345","lewis",3
"1346","lgbtq",1
"1347","lgpcxws",1
"1348","lgpgkpqh",1
"1349","li",1
"1350","liability",1
"1351","liberty",1
"1352","lie",2
"1353","lies",1
"1354","lif",1
"1355","life",6
"1356","lifeline",1
"1357","liftoff",1
"1358","light",3
"1359","like",10
"1360","likelihood",1
"1361","linda",1
"1362","line",4
"1363","list",1
"1364","listen",1
"1365","live",5
"1366","lived",1
"1367","lives",16
"1368","livestream",1
"1369","living",1
"1370","lkjoitb",1
"1371","lkjslml",1
"1372","ll",12
"1373","lloizanx",1
"1374","llolimmm",1
"1375","lloyd",2
"1376","local",1
"1377","location",1
"1378","long",15
"1379","longer",4
"1380","longest",2
"1381","loo",1
"1382","look",10
"1383","looked",1
"1384","looking",3
"1385","looks",2
"1386","loopholes",4
"1387","lopez",2
"1388","lose",2
"1389","losing",1
"1390","loss",1
"1391","lost",6
"1392","lot",9
"1393","louisiana",1
"1394","louth",1
"1395","love",2
"1396","loved",2
"1397","loyalty",1
"1398","lqsbieeh",1
"1399","lucky",2
"1400","luggfoqa",1
"1401","lunar",1
"1402","lunarnewyear",1
"1403","lvfanrphlw",1
"1404","lvwhgxlx",1
"1405","lwlreuf",1
"1406","lyyooecy",1
"1407","m",58
"1408","madam",2
"1409","made",16
"1410","magazines",2
"1411","mahavir",2
"1412","majority",4
"1413","make",28
"1414","makes",1
"1415","makin",1
"1416","making",8
"1417","man",2
"1418","managed",1
"1419","manuel",2
"1420","manufacturers",1
"1421","manufacturing",3
"1422","many",18
"1423","march",2
"1424","margaret",1
"1425","mark",4
"1426","marks",2
"1427","married",1
"1428","mars",2
"1429","mask",13
"1430","masks",2
"1431","mass",1
"1432","maste",1
"1433","matter",2
"1434","mavlffjckv",1
"1435","may",7
"1436","mayo",1
"1437","mayorkas",1
"1438","mdpmotvtxt",1
"1439","me",18
"1440","meaningful",1
"1441","meant",1
"1442","measures",2
"1443","medal",1
"1444","medical",2
"1445","meet",7
"1446","meeting",11
"1447","megan",2
"1448","meledncvy",1
"1449","mem",2
"1450","members",13
"1451","memorandum",1
"1452","memory",1
"1453","mend",1
"1454","mental",2
"1455","merck",2
"1456","merrick",1
"1457","message",6
"1458","met",17
"1459","mexican",2
"1460","mexico",1
"1461","mfqujrxc",1
"1462","mhwhvgwpsp",1
"1463","michael",1
"1464","michele",1
"1465","michigan",3
"1466","mid",1
"1467","middle",12
"1468","migration",1
"1469","mike",1
"1470","miles",1
"1471","milestone",3
"1472","military",1
"1473","million",23
"1474","millions",9
"1475","mind",1
